repository,file_path,language,extension,loc,size_bytes
pytest,testing/example_scripts/unittest/test_unittest_asynctest.py,Python,.py,26,470
pytest,testing/example_scripts/unittest/test_setup_skip.py,Python,.py,17,343
pytest,testing/example_scripts/unittest/test_setup_skip_module.py,Python,.py,16,297
pytest,testing/example_scripts/unittest/test_setup_skip_class.py,Python,.py,18,369
pytest,testing/example_scripts/unittest/test_unittest_asyncio.py,Python,.py,27,630
pytest,testing/example_scripts/unittest/test_unittest_plain_async.py,Python,.py,9,163
pytest,testing/example_scripts/unittest/test_parametrized_fixture_error_message.py,Python,.py,17,285
pytest,testing/example_scripts/conftest_usageerror/conftest.py,Python,.py,12,223
pytest,testing/example_scripts/marks/marks_considered_keywords/conftest.py,Python,.py,0,0
pytest,testing/example_scripts/marks/marks_considered_keywords/test_marks_as_keywords.py,Python,.py,9,122
pytest,testing/example_scripts/config/collect_pytest_prefix/conftest.py,Python,.py,5,70
pytest,testing/example_scripts/config/collect_pytest_prefix/test_foo.py,Python,.py,6,89
pytest,testing/example_scripts/doctest/main_py/test_normal_module.py,Python,.py,10,137
pytest,testing/example_scripts/doctest/main_py/__main__.py,Python,.py,6,108
pytest,testing/example_scripts/issue88_initial_file_multinodes/conftest.py,Python,.py,18,387
pytest,testing/example_scripts/issue88_initial_file_multinodes/test_hello.py,Python,.py,6,91
pytest,testing/example_scripts/acceptance/fixture_mock_integration.py,Python,.py,21,359
pytest,testing/example_scripts/perf_examples/collect_stats/template_test.py,Python,.py,6,87
pytest,testing/example_scripts/perf_examples/collect_stats/generate_folders.py,Python,.py,31,919
pytest,testing/example_scripts/tmpdir/tmp_path_fixture.py,Python,.py,10,226
pytest,testing/example_scripts/fixtures/test_getfixturevalue_dynamic.py,Python,.py,23,321
pytest,testing/example_scripts/fixtures/test_fixture_named_request.py,Python,.py,13,142
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_module_class.py,Python,.py,18,279
pytest,testing/example_scripts/fixtures/fill_fixtures/test_detect_recursive_dependency_error.py,Python,.py,18,198
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_basic.py,Python,.py,18,242
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookupfails.py,Python,.py,13,168
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookup_modulelevel.py,Python,.py,18,319
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookup_classlevel.py,Python,.py,13,254
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/conftest.py,Python,.py,9,125
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/conftest.py,Python,.py,9,131
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/test_spam.py,Python,.py,6,115
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_module/conftest.py,Python,.py,9,125
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_module/test_extend_fixture_conftest_module.py,Python,.py,13,184
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/conftest.py,Python,.py,10,205
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/test_in_sub1.py,Python,.py,6,91
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/conftest.py,Python,.py,11,246
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/test_in_sub2.py,Python,.py,6,91
pytest,testing/example_scripts/fixtures/custom_item/conftest.py,Python,.py,18,375
pytest,testing/example_scripts/fixtures/custom_item/foo/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/fixtures/custom_item/foo/test_foo.py,Python,.py,6,85
pytest,testing/example_scripts/customdirectory/conftest.py,Python,.py,25,693
pytest,testing/example_scripts/customdirectory/tests/test_first.py,Python,.py,7,114
pytest,testing/example_scripts/customdirectory/tests/test_third.py,Python,.py,7,114
pytest,testing/example_scripts/customdirectory/tests/test_second.py,Python,.py,7,115
pytest,testing/example_scripts/warnings/test_group_warnings_by_message.py,Python,.py,24,333
pytest,testing/example_scripts/warnings/test_group_warnings_by_message_summary/test_1.py,Python,.py,24,335
pytest,testing/example_scripts/warnings/test_group_warnings_by_message_summary/test_2.py,Python,.py,8,119
pytest,testing/example_scripts/dataclasses/test_compare_recursive_dataclasses.py,Python,.py,47,614
pytest,testing/example_scripts/dataclasses/test_compare_two_different_dataclasses.py,Python,.py,21,518
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_with_custom_eq.py,Python,.py,19,425
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses.py,Python,.py,16,339
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_field_comparison_off.py,Python,.py,16,382
pytest,testing/example_scripts/dataclasses/test_compare_initvar.py,Python,.py,15,260
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_verbose.py,Python,.py,16,347
pytest,extra/get_issues.py,Python,.py,89,2370
pytest,scripts/release.py,Python,.py,148,4969
pytest,scripts/generate-gh-release-notes.py,Python,.py,69,2155
pytest,scripts/update-plugin-list.py,Python,.py,229,7575
pytest,scripts/diff-assert-rewrite.py,Python,.py,157,5769
pytest,scripts/prepare-release-pr.py,Python,.py,180,4989
pytest,doc/en/conftest.py,Python,.py,4,66
pytest,doc/en/conf.py,Python,.py,330,11624
pytest,doc/en/example/conftest.py,Python,.py,4,87
pytest,doc/en/example/multipython.py,Python,.py,70,1958
pytest,doc/en/example/pythoncollection.py,Python,.py,15,236
pytest,doc/en/example/xfail_demo.py,Python,.py,41,485
pytest,doc/en/example/assertion/failure_demo.py,Python,.py,283,5721
pytest,doc/en/example/assertion/test_setup_flow_example.py,Python,.py,47,1289
pytest,doc/en/example/assertion/test_failures.py,Python,.py,16,464
pytest,doc/en/example/assertion/global_testmodule_config/conftest.py,Python,.py,17,366
pytest,doc/en/example/assertion/global_testmodule_config/test_hello_world.py,Python,.py,8,81
pytest,doc/en/example/nonpython/conftest.py,Python,.py,50,1549
pytest,doc/en/example/nonpython/__init__.py,Python,.py,0,0
pytest,doc/en/example/fixtures/test_fixtures_request_different_scope.py,Python,.py,31,514
pytest,doc/en/example/fixtures/test_fixtures_order_dependencies.py,Python,.py,47,584
pytest,doc/en/example/fixtures/test_fixtures_order_scope.py,Python,.py,38,646
pytest,doc/en/example/fixtures/test_fixtures_order_autouse.py,Python,.py,47,598
pytest,doc/en/example/fixtures/test_fixtures_order_autouse_temp_effects.py,Python,.py,38,639
pytest,doc/en/example/fixtures/test_fixtures_order_autouse_multiple_scopes.py,Python,.py,33,560
pytest,doc/en/example/customdirectory/conftest.py,Python,.py,30,1071
pytest,doc/en/example/customdirectory/tests/test_first.py,Python,.py,6,87
pytest,doc/en/example/customdirectory/tests/test_third.py,Python,.py,6,87
pytest,doc/en/example/customdirectory/tests/test_second.py,Python,.py,6,88
pytest,src/py.py,Python,.py,15,329
pytest,src/pytest/__init__.py,Python,.py,192,5801
pytest,src/pytest/__main__.py,Python,.py,9,175
pytest,src/_pytest/approx.py,Python,.py,1142,44510
pytest,src/_pytest/skipping.py,Python,.py,321,10850
pytest,src/_pytest/logging.py,Python,.py,978,36228
pytest,src/_pytest/unittest.py,Python,.py,651,25100
pytest,src/_pytest/runner.py,Python,.py,593,20342
pytest,src/_pytest/helpconfig.py,Python,.py,284,9913
pytest,src/_pytest/pastebin.py,Python,.py,121,4281
pytest,src/_pytest/compat.py,Python,.py,329,10668
pytest,src/_pytest/terminal.py,Python,.py,1798,66205
pytest,src/_pytest/nodeid.py,Python,.py,113,4405
pytest,src/_pytest/tracemalloc.py,Python,.py,24,778
pytest,src/_pytest/warnings.py,Python,.py,122,3885
pytest,src/_pytest/pytester_assertions.py,Python,.py,74,2253
pytest,src/_pytest/deprecated.py,Python,.py,155,6251
pytest,src/_pytest/subtests.py,Python,.py,419,13536
pytest,src/_pytest/recwarn.py,Python,.py,378,13830
pytest,src/_pytest/tmpdir.py,Python,.py,346,13062
pytest,src/_pytest/__init__.py,Python,.py,13,391
pytest,src/_pytest/stash.py,Python,.py,116,3090
pytest,src/_pytest/debugging.py,Python,.py,404,13853
pytest,src/_pytest/_argcomplete.py,Python,.py,117,3776
pytest,src/_pytest/unraisableexception.py,Python,.py,184,6484
pytest,src/_pytest/capture.py,Python,.py,1157,37552
pytest,src/_pytest/hookspec.py,Python,.py,1298,42100
pytest,src/_pytest/timing.py,Python,.py,97,3196
pytest,src/_pytest/pytester.py,Python,.py,1815,63484
pytest,src/_pytest/faulthandler.py,Python,.py,119,4250
pytest,src/_pytest/outcomes.py,Python,.py,286,8799
pytest,src/_pytest/stepwise.py,Python,.py,219,8112
pytest,src/_pytest/junitxml.py,Python,.py,724,26644
pytest,src/_pytest/python.py,Python,.py,1856,71919
pytest,src/_pytest/reports.py,Python,.py,733,24348
pytest,src/_pytest/doctest.py,Python,.py,747,25930
pytest,src/_pytest/setuponly.py,Python,.py,98,3167
pytest,src/_pytest/raises.py,Python,.py,1507,59802
pytest,src/_pytest/nodes.py,Python,.py,789,27476
pytest,src/_pytest/threadexception.py,Python,.py,148,4892
pytest,src/_pytest/main.py,Python,.py,1242,44147
pytest,src/_pytest/monkeypatch.py,Python,.py,456,16778
pytest,src/_pytest/legacypath.py,Python,.py,471,16833
pytest,src/_pytest/setupplan.py,Python,.py,39,1184
pytest,src/_pytest/pathlib.py,Python,.py,1105,39450
pytest,src/_pytest/scope.py,Python,.py,91,2736
pytest,src/_pytest/freeze_support.py,Python,.py,45,1300
pytest,src/_pytest/fixtures.py,Python,.py,2617,103019
pytest,src/_pytest/cacheprovider.py,Python,.py,666,23778
pytest,src/_pytest/warning_types.py,Python,.py,174,4463
pytest,src/_pytest/terminalprogress.py,Python,.py,30,1153
pytest,src/_pytest/config/__init__.py,Python,.py,2448,89879
pytest,src/_pytest/config/findpaths.py,Python,.py,501,18132
pytest,src/_pytest/config/exceptions.py,Python,.py,15,315
pytest,src/_pytest/config/argparsing.py,Python,.py,659,24462
pytest,src/_pytest/mark/__init__.py,Python,.py,323,10542
pytest,src/_pytest/mark/structures.py,Python,.py,708,25075
pytest,src/_pytest/mark/expression.py,Python,.py,363,11686
pytest,src/_pytest/_code/code.py,Python,.py,1681,60879
pytest,src/_pytest/_code/__init__.py,Python,.py,26,521
pytest,src/_pytest/_code/source.py,Python,.py,262,9287
pytest,src/_pytest/assertion/_compare_sequence.py,Python,.py,96,3596
pytest,src/_pytest/assertion/truncate.py,Python,.py,159,6164
pytest,src/_pytest/assertion/_typing.py,Python,.py,35,1153
pytest,src/_pytest/assertion/util.py,Python,.py,191,7010
pytest,src/_pytest/assertion/_compare_set.py,Python,.py,101,2667
pytest,src/_pytest/assertion/_compare_any.py,Python,.py,139,5250
pytest,src/_pytest/assertion/__init__.py,Python,.py,258,9343
pytest,src/_pytest/assertion/_compare_mapping.py,Python,.py,72,2726
pytest,src/_pytest/assertion/highlight.py,Python,.py,11,327
pytest,src/_pytest/assertion/_guards.py,Python,.py,61,1954
pytest,src/_pytest/assertion/rewrite.py,Python,.py,1223,49294
pytest,src/_pytest/assertion/compare_text.py,Python,.py,134,4542
pytest,src/_pytest/_io/wcwidth.py,Python,.py,57,1289
pytest,src/_pytest/_io/saferepr.py,Python,.py,155,4920
pytest,src/_pytest/_io/terminalwriter.py,Python,.py,258,8994
pytest,src/_pytest/_io/__init__.py,Python,.py,10,190
pytest,src/_pytest/_io/pprint.py,Python,.py,698,21409
pytest,src/_pytest/_py/error.py,Python,.py,119,3475
pytest,src/_pytest/_py/__init__.py,Python,.py,0,0
pytest,src/_pytest/_py/path.py,Python,.py,1475,49229
